file,external_id,category,source,label,location,province,precision,match,old_lat,old_lon,new_lat,new_lon,changed
territorial_layers.csv,VECTORNET-CURATED-2026-DERMACENTOR-RETICULATUS-BOLOGNA,vectors,VECTORNET_CURATED,Dermacentor reticulatus,Bologna,Bologna,comunale,municipality_region,44.4949,11.3426,44.493758,11.343031,true
territorial_layers.csv,VECTORNET-CURATED-2026-DERMACENTOR-RETICULATUS-PARMA,vectors,VECTORNET_CURATED,Dermacentor reticulatus,Parma,Parma,comunale,municipality_region,44.8015,10.3279,44.801368,10.328083,true
territorial_layers.csv,VECTORNET-CURATED-2026-PHLEBOTOMUS-PERNICIOSUS-GENOVA,vectors,VECTORNET_CURATED,Phlebotomus perniciosus,Genova,Genova,comunale,municipality_region,44.4048,8.9444,44.407260,8.933862,true
territorial_layers.csv,VECTORNET-CURATED-2026-PHLEBOTOMUS-PERNICIOSUS-GROSSETO,vectors,VECTORNET_CURATED,Phlebotomus perniciosus,Grosseto,Grosseto,comunale,municipality_region,42.7635,11.1124,42.775110,11.287804,true
territorial_layers.csv,VECTORNET-CURATED-2026-PHLEBOTOMUS-PERNICIOSUS-ROMA,vectors,VECTORNET_CURATED,Phlebotomus perniciosus,Roma,Roma,comunale,municipality_region,41.9028,12.4964,41.893320,12.482932,true
territorial_layers.csv,VECTORNET-CURATED-2026-PHLEBOTOMUS-PERNICIOSUS-NAPOLI,vectors,VECTORNET_CURATED,Phlebotomus perniciosus,Napoli,Napoli,comunale,municipality_region,40.8518,14.2681,40.835934,14.248783,true
territorial_layers.csv,VECTORNET-CURATED-2026-PHLEBOTOMUS-PERNICIOSUS-CASERTA,vectors,VECTORNET_CURATED,Phlebotomus perniciosus,Caserta,Caserta,comunale,municipality_region,41.0747,14.3324,41.203483,14.117058,true
territorial_layers.csv,VECTORNET-CURATED-2026-PHLEBOTOMUS-PERNICIOSUS-BARI,vectors,VECTORNET_CURATED,Phlebotomus perniciosus,Bari,Bari,comunale,municipality_region,41.1171,16.8719,41.125784,16.862029,true
territorial_layers.csv,VECTORNET-CURATED-2026-PHLEBOTOMUS-PERNICIOSUS-PALERMO,vectors,VECTORNET_CURATED,Phlebotomus perniciosus,Palermo,Palermo,comunale,municipality_region,38.1157,13.3615,38.111227,13.352443,true
territorial_layers.csv,VECTORNET-CURATED-2026-PHLEBOTOMUS-PERNICIOSUS-CAGLIARI,vectors,VECTORNET_CURATED,Phlebotomus perniciosus,Cagliari,Cagliari,comunale,municipality_region,39.2238,9.1217,39.216953,9.112851,true
