source_file,benv_id,raw_comune,raw_provincia,raw_regione,matched_level,matched_label,lat,lon,note
peste_suina_africana_2026_italia.xlsx,85075,VENTASSO,RE,EMILIA ROMAGNA,province,VENTASSO,44.69890,10.62970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85077,CRAVANZANA,CN,PIEMONTE,province,CRAVANZANA,44.38450,7.54270,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85124,FIVIZZANO,MS,TOSCANA,province,FIVIZZANO,44.03540,10.13970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85144,BARGA,LU,TOSCANA,province,BARGA,43.84290,10.50270,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84879,LICCIANA NARDI,MS,TOSCANA,province,LICCIANA NARDI,44.03540,10.13970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84947,MULAZZO,MS,TOSCANA,province,MULAZZO,44.03540,10.13970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85454,BAGNONE,MS,TOSCANA,province,BAGNONE,44.03540,10.13970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84988,VENTASSO,RE,EMILIA ROMAGNA,province,VENTASSO,44.69890,10.62970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85019,PODENZANA,MS,TOSCANA,province,PODENZANA,44.03540,10.13970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85020,FIVIZZANO,MS,TOSCANA,province,FIVIZZANO,44.03540,10.13970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85037,FIVIZZANO,MS,TOSCANA,province,FIVIZZANO,44.03540,10.13970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84881,LICCIANA NARDI,MS,TOSCANA,province,LICCIANA NARDI,44.03540,10.13970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84913,PIANA CRIXIA,SV,LIGURIA,province,PIANA CRIXIA,44.30910,8.47720,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,83830,CERANESI,GE,LIGURIA,province,CERANESI,44.40560,8.94630,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85156,FIVIZZANO,MS,TOSCANA,province,FIVIZZANO,44.03540,10.13970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85209,VENTASSO,RE,EMILIA ROMAGNA,province,VENTASSO,44.69890,10.62970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85216,GENOVA,GE,LIGURIA,province,GENOVA,44.40560,8.94630,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85255,ARGUELLO,CN,PIEMONTE,province,ARGUELLO,44.38450,7.54270,municipality centroid unavailable; coordinates set to province capital for map display
